Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
Light on Me,"Jun 29, 2021 - Aug 19, 2021",2021,Viki,"Tuesday, Thursday",16,24 min.,13+ - Teens 13 or older,8.3,"Tae Kyung is a 18-year-old high school student. He is also a lifelong loner. But one day, he starts questioning his own judgment and tells a teacher that he no longer wishes to be alone. The problem is, he has no idea how to start going about making new friends. The teacher advises him to join the school’s student council. He agrees, but discovers that making friends may be harder than it seems. He meets the Vice President of the council, Shin Woo, who is cool and level-headed, but also somewhat cold toward him and reluctant to accept Tae Kyung. However, he also meets the super-attractive President of the council: Da On, who appears to take an instant shine to him. The beginnings of a romance appear to be in the cards for Da On and Tae Kyung, but Shin Woo does not seem to approve. Matters are further complicated by the fact that Da On’s close female friend – who secretly loves Da On – is jealous of their closeness, and attempts to drive a wedge between them!","Romance, Youth, Drama","Gay Romance, LGBTQ+, School, School Club, First Love, High School, Secret Crush, All-Boys School, Nice Male Lead, Love Triangle",Lee Yoo Yeon,Lee Ji Eum,"Lee Sae On, Kang Yoo Seok, Choe Chan Yi, Go Woo Jin, Lee Ki Hyun, Yang Seo Hyun",WHYNOT MEDIA,#229
Bulgasal: Immortal Souls,"Dec 18, 2021 - Feb 6, 2022",2021,"Netflix, tvN","Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,"The series tells the story of a man-turned-immortal, Bulgasal, who wants revenge from a woman with a mysterious past and present, who he deems responsible for his immortality and miseries from the past 600 years, hoping to free himself from his curse. ","Thriller, Mystery, Drama, Fantasy","Curse, Reincarnation, Revenge, Immortal, Hidden Identity, Dark Fiction, Found Family, Suspense, Grudge, Death",Jang Young Woo,"Seo Jae Won, Kwon So Ra","Lee Jin Wook, Kwon Na Ra, Lee Joon, Gong Seung Yeon, Jung Jin Young, Kim Woo Seok","Studio Dragon, Show Runners",#230
Liar Game,"Oct 20, 2014 - Nov 25, 2014",2014,tvN,"Monday, Tuesday",12,1 hr. 3 min.,,8.3,Various contestants take part in a game show with a prize of 10 billion won. The contestants who can cheat the others wins the prize. Contestants include genius swindler Ha Woo Jin and naive college student Nam Da Jung.,"Thriller, Mystery, Psychological, Drama","Naive Female Lead, Debt, Game Show, Swindler Male Lead, Genius Male Lead, Adapted From A Manga, Money-Obsession, Suspense, Nice Female Lead, Gambling",Kim Hong Seon,Ryu Yong Jae,"Lee Sang Yoon, Kim So Eun, Shin Sung Rok, Cha Soo Yeon, Choi Jin Ho, Choi Yoon So","Apollo Pictures, Fantagio",#231
Tree With Deep Roots,"Oct 5, 2011 - Dec 22, 2011",2011,SBS,"Wednesday, Thursday",24,1 hr. 9 min.,15+ - Teens 15 or older,8.3,"Early in his reign, King Se Jong accidentally causes the death of his in-laws and their slaves in an attempt to save them from his brutal father, King Tae Jong. Two young slaves, Ddol Bok and his friend Dam survive but neither knows the other has. Ddol Bok blames the king and vows to kill him to avenge the deaths of everyone he loved. He spends several years becoming a great warrior. Dam, who has a photographic memory, becomes a court lady called So Yi, but she feels so guilty about her role in the other slaves' deaths that she is mute. Ddol Bok returns to the palace under the name of Kang Chae Yoon in order to kill the king. However, he becomes embroiled in the mystery surrounding the deaths of several Hall of Worthies scholars. The deaths were caused by a secret society called ""Hidden Root,"" which was created long ago by followers of Jeong Do Jeon, with the goal of giving more power to ministers and less to the king. King Tae Jong killed Jeong Do Jeon and all of his family except his nephew, Jeong Gi Joon, who is now the leader of Hidden Root and lives in disguise not far from King Se Jong.","Historical, Mystery, Political","Sejong The Great, Joseon Dynasty, Sword-fight, Revenge, Murder, Martial Arts, Royalty, Secret Organization, Death, Adapted From A Novel","Jang Tae Yoo, Shin Kyung Soo","Kim Young Hyun, Park Sang Yeon","Han Seok Kyu, Jang Hyuk, Shin Se Kyung, Jo Jin Woong, Park Hyuk Kwon, Hyun Woo",iHQ,#232
49 Days,"Mar 16, 2011 - May 19, 2011",2011,SBS,"Wednesday, Thursday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"Shin Ji Hyun was enjoying absolute bliss as she was about to marry her fiancé, Kang Min Ho, but her perfect life is shattered when she gets into a car accident that leaves her in a coma. She is given a second chance at life by a person called The Scheduler, but it comes with a condition: she has to find three people outside of her family who would cry genuine tears for her. In order to do this, she borrows the body of Yi Kyung, a part-time employee at a convenience store for 49 days.","Romance, Drama, Melodrama, Supernatural","Coma, Second Chance, Death, Car Accident, Naive Female Lead, Flashback To Past, Depression, Tragic Past, Multiple Mains, Fate","Jo Young Kwang, Park Yong Soon",So Hyun Kyung,"Lee Yo Won, Nam Gyu Ri, Jung Il Woo, Jo Hyun Jae, Bae Soo Bin, Seo Ji Hye",HB Entertainment,#233
D-Day,"Sep 18, 2015 - Nov 21, 2015",2015,jTBC,"Friday, Saturday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"An unprecedented 6.5-magnitude earthquake has struck Seoul, destroying roads and buildings, and preventing ambulances from reaching victims. Woefully unprepared for such a massive disaster, Korea can only watch the desperate situation and listen to the pleading cries for help. Hae Sung, a competent surgeon, can’t resist doing everything he can to help the injured people during the emergency. This upsets his hospital and they put him on a blacklist, as his benevolent help is against the hospital's profit. Ddol Mi, beautiful and ambitious, chased money and fame as a doctor, but now wants to become a truly compassionate doctor after meeting Hae Sung. Woo Jin has been building a successful career as Korea’s rising doctor, but secretly, he truly cares about being a genuine doctor, saving the lives of the sick. These three characters team up to rush into emergencies, holding onto hope in the most desperate situations, and taking all sorts of risks for the sake of saving lives.","Romance, Drama, Medical","Disaster, Survival, Natural Disaster, Teamwork, Greed, Earthquake, Hardworking Male Lead, Secret, Corruption, Death",Jang Yong Woo,Hwang Eun Kyung,"Kim Young Kwang, Jung So Min, Ha Seok Jin, Lee Kyung Young, Kim Hye Eun, Yoon Joo Hee",S.M. Culture & Contents,#234
Awaken,"Nov 30, 2020 - Jan 19, 2021",2020,tvN,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"It’s been nearly thirty years since one small village was plagued by a mysterious string of events that shook it to its core. While the events were never fully understood, nor the mystery behind them solved, the stories surrounding the village slowly faded, drifting into obscurity amidst the steady passing of time. But when a new string of mysterious incidents begin to take place, memories long-forgotten begin to resurface, and this time, the villagers' cries for help will not go unheard. A legend among his peers, Do Jung Woo is the leader of one of the National Police Agency’s special task forces. While his outward appearance likens him more to an unruly child than a legendary officer, his keen insight and quick wit make him more than capable of solving any crime. After reports of numerous mysterious incidents begin to filter in, Jung Woo springs into action. But this isn’t a mystery he’s allowed to solve on his own. Working alongside Jung Woo, Officer Gong Hye Won refuses to let anything stand between her and what she wants. Tenacious and hot-tempered, she’s determined to solve every case, by any means necessary, and this case is no exception. Joined by Jamie, a detective on loan from the FBI, Jung Woo and Hye Won set out to unravel the present mysteries of this small village. But they soon realize that the incidents of the present tie strongly to those of the past. Will this team of experts be able to solve a case nearly thirty years in the making?","Thriller, Mystery, Crime, Fantasy","Tragic Past, Psychology, Eccentric Male Lead, Special Power, Teamwork, Child Abuse, Hot-tempered Female Lead, Trauma, Strong Male Lead, Orphan Male Lead","Jo Soo Won, Lee Soo Hyun",Shin Yoo Dam,"Namkoong Min, Kim Seol Hyun, Lee Chung Ah, Yoon Sun Woo, Yoon Gyung Ho, Kim Tae Woo","Kim Jong-hak Production, Story Vine Pictures",#235
Oh My Venus,"Nov 16, 2015 - Jan 5, 2016",2015,KBS2,"Monday, Tuesday",16,60 min.,13+ - Teens 13 or older,8.3,"Kim Yeong Ho is a personal trainer for Hollywood stars. He reluctantly comes back to Korea to face his family after a scandal with an actress. Even though he comes from a wealthy family background, he suffered a devastating injury during his childhood days. Now, he overcomes his problems with living a healthy lifestyle. Kang Joo Eun is a 33-year-old lawyer who was once the beauty of her school, nicknamed ""Daegu's Venus"". Over the years she has become overweight and unhealthy. She gets dumped by her boyfriend of 15 years. Kang Joo Eun meets Kim Yeong Ho, who agrees to be her personal trainer to help her get healthier. As they work on her physical transformation, they both discover they have feelings for each other. As they grow closer, they heal each other's emotional wounds and fall in love.","Comedy, Law, Romance, Life","Weight Loss, Makeover, Cohabitation, Body Image, Bromance, Rich Male Lead, Hidden Identity, Hardworking Male Lead, Hardworking Female Lead, Steamy Kiss","Kim Hyoung Seok, Lee Na Jung",Kim Eun Ji,"So Ji Sub, Shin Min Ah, Jung Gyu Woon, Yoo In Young, Sung Hoon, Henry Lau","Mong-jak-so Company, ONDA Entertainment, KBS Media",#236
Leverage,"Oct 13, 2019 - Dec 8, 2019",2019,TV Chosun,Sunday,16,60 min.,15+ - Teens 15 or older,8.3,"Meet Lee Tae Joon a former insurance claims investigator turned scam strategist.  Backed by a group of former criminals, they aim to bring to justice fellow thieves, grifters and con-men world-wide, who, otherwise, would not get their due, through the usual legal channels. Those who hide illegal activity behind their reputations and think they are above the law, soon become the target of mastermind Lee Tae Joon and his unusual team of talented experts.","Action, Mystery, Comedy, Crime","Smart Male Lead, Leadership, Friendship, Street Fight, Corruption, Badass Female Lead, Slight Romance, Female Lead Action Scenes, Strong Female Lead, Nice Male Lead",Nam Ki Hoon,Min Ji Hyung,"Lee Dong Gun, Jeon Hye Bin, Kim Sae Ron, Kim Kwon, Yeo Hoe Hyun, Choi Ja Hye","Production H, HIGROUND, Sony Pictures Television",#237
The King's Affection,"Oct 11, 2021 - Dec 14, 2021",2021,"KBS2, Netflix","Monday, Tuesday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,"The story is set during the Joseon Dynasty, at a time when twins were considered an ominous sign. As a result, when the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace. A few years later, the twin daughter Dam Yi returns to the palace to work as a maid. When the male twin, Lee Hwi, loses his life through a case of mistaken identity, their mother, having recognised her daughter as court maid Dam Yi, persuades her to take Lee Hwi's place. Although she distances herself from everybody, Dam Yi starts developing feelings for Jung Ji Woon, her original first love and later teacher who comes from a noble family.","Historical, Romance, Drama","Cross-Dressing, Joseon Dynasty, Hidden Identity, Cold Female Lead, Gender Bender, First Love, Royalty, Strong Female Lead, Nice Male Lead, Death","Song Hyun Wook, Lee Hyun Suk",Han Hee Jung,"Park Eun Bin, Rowoon, Nam Yoon Su, Choi Byung Chan, Bae Yoon Kyung, Jung Chae Yeon","Story Hunter Production, Monster Union",#238
A Gentleman's Dignity,"May 26, 2012 - Aug 12, 2012",2012,SBS,"Saturday, Sunday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,"Four men in their forties go through love, breakup, success and failure. The story includes the romantic relationship between Kim Do Jin, an architect with a scathing tongue, and strict high school teacher Seo Yi Soo, who moonlights as an umpire at amateur baseball games.","Comedy, Romance, Drama, Melodrama","Adult Romance, Bromance, Friendship, Age Gap [Drama Life], Age Gap [Real Life], Male Centered Plot, Dissociative Amnesia, Independent Female Lead, Mental Illness, Love At First Sight","Kwon Hyuk Chan, Shin Woo Cheol, Kim Jung Hyun",Kim Eun Sook,"Jang Dong Gun, Kim Ha Neul, Kim Soo Ro, Kim Min Jong, Lee Jong Hyuk, Yoon Se Ah","Hwa&Dam Pictures, CJ ENM",#239
Rookie Historian Goo Hae Ryung,"Jul 17, 2019 - Sep 26, 2019",2019,"MBC, Netflix","Wednesday, Thursday",40,35 min.,15+ - Teens 15 or older,8.3,"The story takes place at the beginning of the 19th century. Goo Hae Ryung is an intern to become a palace historian. However, it was not acceptable for women to write historical records at that time. She takes one step at a time to create her own destiny in Joseon, where Confucian ideas are deeply rooted. She wants to fulfill her duties as a historian and prove to the world that everyone is equal. Along with the fight of the female palace historians, the drama will tell about her romance with Prince Yi Rim who has a secret of his own.","Historical, Comedy, Romance, Drama","Joseon Dynasty, Sismance, Strong Female Lead, Nice Male Lead, Hardworking Female Lead, Calm Female Lead, Power Struggle, Conspiracy, Social Problems, Hidden Past","Kang Il Soo, Han Hyun Hee",Kim Ho Soo,"Shin Se Kyung, Cha Eun Woo, Lee Ji Hoon, Park Ki Woong, Lee Ye Rim, Park Ji Hyun",Chorokbaem Media,#240
Coffee Prince,"Jul 2, 2007 - Aug 28, 2007",2007,MBC,"Monday, Tuesday",17,60 min.,15+ - Teens 15 or older,8.3,"Choi Han Gyul is the grandson of chairwoman Bang of Dong-in Foods, a company that has a thriving coffee business. He has never had a job and does not care for responsibility. Han Gyul is hung up on his first love, Han Yoo Joo, who only sees him as a friend. Go Eun Chan is a 24-year-old tomboy who is often mistaken for a guy. Her father died when she was 16 years old and since then she has taken over as the breadwinner in her family. When Han Gyul and Eun Chan meet, he, not knowing that she is a girl, decides to hire her to pretend to be his gay lover so that he can escape the blind dates arranged by his grandmother. After getting an ultimatum from his grandmother, Han Gyul takes over a rundown old coffee shop, later renamed ""Coffee Prince,"" to prove that he's capable, to both his grandmother and Yoo Joo. In order to attract female customers, he only hires good-looking male employees. Eun Chan, desperate for money, continues to hide her gender to get a job at the Coffee Prince.","Food, Comedy, Romance, Drama","Cross-Dressing, Hidden Identity, Boss-Employee Relationship, Hardworking Female Lead, Strong Female Lead, Bromance, Eccentric Female Lead, Love Square, Gender Bender, Family Pressure",Lee Yoon Jung,"Jang Hyun Joo, Lee Jung Ah","Gong Yoo, Yoon Eun Hye, Lee Sun Kyun, Chae Jung An, Kim Chang Wan, Kim Dong Wook",,#241
